,0
Smoke alarm,18208
Essentials,18061
Hangers,17056
Carbon monoxide alarm,16902
Hair dryer,16675
Hot water,16517
Wifi,16494
Kitchen,16474
Dishes and silverware,16114
Iron,15688
Microwave,15199
Shampoo,14948
Refrigerator,14911
Cooking basics,14712
Bed linens,13879
Self check-in,12777
Free street parking,12653
Fire extinguisher,12650
Heating,12270
Free parking on premises,11321
First aid kit,11300
Extra pillows and blankets,11275
Dedicated workspace,10992
Private entrance,10728
Long term stays allowed,10350
Coffee maker,10011
Oven,9556
Security cameras on property,8796
Air conditioning,8587
Cleaning products,8518
Dishwasher,8368
Dining table,8223
Stove,8104
Freezer,7970
Shower gel,7761
Bathtub,7759
Washer,7615
Outdoor furniture,7492
Toaster,7453
Hot water kettle,7438
Body soap,7178
TV,7028
Wine glasses,6944
Conditioner,6710
Dryer,6700
Coffee,6565
Luggage dropoff allowed,6413
Room-darkening shades,6335
Outdoor dining area,6053
Single level home,5859
Private patio or balcony,5784
Keypad,5118
Baking sheet,4945
Pets allowed,4772
BBQ grill,4754
Central air conditioning,4609
Lockbox,4524
Free dryer \u2013 In unit,4297
Laundromat nearby,4276
Ceiling fan,4138
Free washer \u2013 In unit,3835
Backyard,3808
Blender,3749
Central heating,3732
Private backyard \u2013 Fully fenced,3437
Patio or balcony,3410
Portable fans,3399
Books and reading material,3293
Lock on bedroom door,3276
Ethernet connection,3159
TV with standard cable,3002
Barbecue utensils,2974
Smart lock,2776
Clothing storage: closet,2757
Netflix,2528
Indoor fireplace,2485
Board games,2483
Mini fridge,2443
Cleaning available during stay,2271
Fire pit,2262
Coffee maker: Keurig coffee machine,2104
Host greets you,2087
Coffee maker: drip coffee maker,2001
Elevator,1973
Garden view,1946
Rice maker,1935
Clothing storage,1919
Beach essentials,1901
Pack \u2019n play/Travel crib,1865
Drying rack for clothing,1815
Mountain view,1794
Gas stove,1666
Shared patio or balcony,1657
Stainless steel oven,1590
Clothing storage: closet and dresser,1577
Crib,1560
Children\u2019s books and toys,1473
Children\u2019s dinnerware,1451
Hulu,1415
City skyline view,1408
AC - split type ductless system,1366
Window AC unit,1315
High chair,1303
Safe,1251
HBO Max,1214
Free dryer \u2013 In building,1196
Clothing storage: walk-in closet,1159
Roku,1149
Shared backyard \u2013 Fully fenced,1139
Free washer \u2013 In building,1079
Pool,1046
Portable heater,1044
Disney+,1031
Exercise equipment,1030
Sun loungers,998
